t_s,soc_percent,voltage_mV,temp_dC,plug,status
465014.103,96,4060.0,250.0,,
467114.658,96,4060.0,250.0,,
469215.452,96,4060.0,250.0,,
471316.001,96,4060.0,250.0,,
473416.586,96,4060.0,250.0,,
475516.616,96,4060.0,250.0,,
477617.568,96,4060.0,250.0,,
479718.258,96,4060.0,250.0,,
481818.413,96,4060.0,250.0,,
483919.215,96,4060.0,250.0,,
486019.565,96,4060.0,250.0,,
488120.468,96,4060.0,250.0,,
490281.173,96,4060.0,250.0,,
492441.343,96,4060.0,250.0,,
494601.846,96,4060.0,250.0,,
496762.82,96,4060.0,250.0,,
498923.546,96,4060.0,250.0,,
501083.721,96,4060.0,250.0,,
503244.311,96,4060.0,250.0,,
505405.304,96,4060.0,250.0,,
507566.066,96,4060.0,250.0,,
509726.285,96,4060.0,250.0,,
511886.369,96,4060.0,250.0,,
514046.905,96,4060.0,250.0,,
516207.687,96,4060.0,250.0,,
518367.961,96,4060.0,250.0,,
520587.982,96,4060.0,250.0,,
522807.991,96,4060.0,250.0,,
525028.794,96,4060.0,250.0,,
527249.069,96,4060.0,250.0,,
529469.177,96,4060.0,250.0,,
531689.751,96,4060.0,250.0,,
533909.804,96,4060.0,250.0,,
536130.495,96,4060.0,250.0,,
538350.53,96,4060.0,250.0,,
540570.701,96,4060.0,250.0,,
542791.34,96,4060.0,250.0,,
545012.137,96,4060.0,250.0,,
547232.931,96,4060.0,250.0,,
549453.724,96,4060.0,250.0,,
551674.562,96,4060.0,250.0,,
553895.253,95,4036.0,250.0,,
556115.946,95,4036.0,250.0,,
558336.266,95,4036.0,250.0,,
560556.632,95,4036.0,250.0,,
562777.154,95,4036.0,250.0,,
565057.691,95,4036.0,250.0,,
567338.545,95,4036.0,250.0,,
569618.87,95,4036.0,250.0,,
571899.748,95,4036.0,250.0,,
574180.427,95,4036.0,250.0,,
576461.224,95,4036.0,250.0,,
578741.323,95,4036.0,250.0,,
581021.878,95,4036.0,250.0,,
583302.771,95,4036.0,250.0,,
585583.148,95,4036.0,250.0,,
587864.009,95,4036.0,250.0,,
590144.099,95,4036.0,250.0,,
592424.534,95,4036.0,250.0,,
594705.43,95,4036.0,250.0,,
596986.373,95,4036.0,250.0,,
599267.36,95,4036.0,250.0,,
601607.738,95,4036.0,250.0,,
603947.781,95,4036.0,250.0,,
606288.323,95,4036.0,250.0,,
608628.424,95,4036.0,250.0,,
610968.603,95,4036.0,250.0,,
613309.005,95,4036.0,250.0,,
615649.352,95,4036.0,250.0,,
617990.163,95,4036.0,250.0,,
620331.092,95,4036.0,250.0,,
622671.209,95,4036.0,250.0,,
625011.596,95,4036.0,250.0,,
627352.383,95,4036.0,250.0,,
629693.178,95,4036.0,250.0,,
632033.328,95,4036.0,250.0,,
634373.512,95,4036.0,250.0,,
636714.195,95,4036.0,250.0,,
639114.988,95,4036.0,250.0,,
641515.774,95,4036.0,250.0,,
643916.758,95,4036.0,250.0,,
646317.242,95,4036.0,250.0,,
648717.982,95,4036.0,250.0,,
651118.142,95,4036.0,250.0,,
653518.973,95,4036.0,250.0,,
655919.826,95,4036.0,250.0,,
658320.298,95,4036.0,250.0,,
660721.092,95,4036.0,250.0,,
663121.094,95,4036.0,250.0,,
665521.241,95,4036.0,250.0,,
667921.406,95,4036.0,250.0,,
670322.207,95,4036.0,250.0,,
672782.355,95,4036.0,250.0,,
675242.414,95,4036.0,250.0,,
677702.95,95,4036.0,250.0,,
680163.677,95,4036.0,250.0,,
682624.405,95,4036.0,250.0,,
685084.425,95,4036.0,250.0,,
687544.445,95,4036.0,250.0,,
690004.501,95,4036.0,250.0,,
692464.628,95,4036.0,250.0,,
694925.282,95,4036.0,250.0,,
697385.936,95,4036.0,250.0,,
699846.821,95,4036.0,250.0,,
702307.753,95,4036.0,250.0,,
704767.925,95,4036.0,250.0,,
707228.38,95,3943.0,250.0,usb,charging
709689.034,95,3943.0,250.0,usb,charging
712149.777,95,3943.0,250.0,usb,charging
714610.154,95,3943.0,250.0,usb,charging
717070.597,95,3943.0,250.0,usb,charging
719530.921,95,3943.0,250.0,usb,charging
721991.268,95,3943.0,250.0,usb,charging
